fecha,competicion,local,visita,elo_diff,squad_value_diff,ea_overall_diff,h2h_diff,goles_anotados_diff,goles_recibidos_diff,tiros_diff,tiros_arco_diff,corners_diff,posesion_diff,faltas_diff,resultado
2019-06-15,Gold Cup 2019,Canada,Martinique,91.2,-0.109,-2.95,0.0,0.12,-0.5,0.0,0.0,0.0,0.0,0.0,2
2019-06-15,Copa America 2019,Brazil,Bolivia,517.3,4.981,18.27,2.467,0.25,-0.6,0.0,0.0,0.0,0.0,0.0,2
2019-06-15,Copa America 2019,Venezuela,Peru,-71.6,0.365,0.27,-0.636,0.15,-0.8,0.0,0.0,0.0,0.0,0.0,1
2019-06-15,Amistosos 2018-19,Indonesia,Vanuatu,-196.0,-5.038,-18.11,0.0,-1.86,2.06,0.0,0.0,0.0,0.0,0.0,2
2019-06-15,Amistosos 2018-19,Ghana,South Africa,122.7,1.079,2.82,0.0,-0.29,-0.25,0.0,0.0,0.0,0.0,0.0,1
2019-06-15,Copa America 2019,Argentina,Colombia,-83.5,0.676,4.64,0.917,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0
2019-06-15,Amistosos 2018-19,Kenya,DR Congo,-137.1,-1.834,-10.35,-0.308,-0.2,0.5,-8.5,-1.2,0.0,25.0,0.0,1
2019-06-16,Gold Cup 2019,Haiti,Bermuda,176.5,1.635,-2.77,1.167,1.33,-0.88,0.0,0.0,0.0,0.0,0.0,2
2019-06-16,Amistosos 2018-19,Morocco,Zambia,214.1,3.309,14.38,0.25,0.67,-1.52,0.17,-0.87,-0.47,-0.67,7.77,0
2019-06-16,Gold Cup 2019,Mexico,Cuba,409.6,3.784,14.36,3.462,0.6,-0.77,0.0,0.0,0.0,0.0,0.0,2
2019-06-16,Copa America 2019,Paraguay,Qatar,-102.3,-0.292,-3.29,0.333,0.03,0.06,0.0,0.0,0.0,0.0,0.0,1
2019-06-16,Amistosos 2018-19,Egypt,Guinea,135.5,0.345,1.82,0.125,-0.5,-0.12,-1.83,-2.53,-1.8,-5.0,-0.23,2
2019-06-16,Amistosos 2018-19,Tanzania,Zimbabwe,-125.2,-1.665,-3.45,-0.643,-1.39,0.07,0.0,0.0,0.0,0.0,0.0,1
